State,County,Population,No. of Tracts
MO,Putnam,4979,2
MO,Ralls,10167,3
MO,Randolph,25414,6
MO,Ray,23494,4
MO,Reynolds,6696,2
MO,Ripley,14100,4
MO,St. Charles,360485,79
MO,St. Clair,9805,3
MO,Ste. Genevieve,18145,4
MO,St. Francois,65359,11
MO,St. Louis,998954,199
MO,Saline,23370,8
MO,Schuyler,4431,2
MO,Scotland,4843,2
MO,Scott,39191,10
MO,Shannon,8441,2
MO,Shelby,6373,3
MO,Stoddard,29968,8
MO,Stone,32202,6
MO,Sullivan,6714,3
MO,Taney,51675,10
MO,Texas,26008,4
MO,Vernon,21159,6
MO,Warren,32513,5
MO,Washington,25195,5
MO,Wayne,13521,4
MO,Webster,36202,8
MO,Worth,2171,1
MO,Wright,18815,4
MO,St. Louis City,319294,106
MT,Beaverhead,9246,3
MT,Big Horn,12865,5
MT,Blaine,6491,4
MT,Broadwater,5612,2
MT,Carbon,10078,5
MT,Carter,1160,1
MT,Cascade,81327,22
MT,Chouteau,5813,2
MT,Custer,11699,6
MT,Daniels,1751,1
MT,Dawson,8966,3
MT,Deer Lodge,9298,3
MT,Fallon,2890,1
MT,Fergus,11586,2
MT,Flathead,90928,19
MT,Gallatin,89513,22
MT,Garfield,1206,1
MT,Glacier,13399,4
MT,Golden Valley,884,1
MT,Granite,3079,1
MT,Hill,16096,6
MT,Jefferson,11406,3
MT,Judith Basin,2072,1
MT,Lake,28746,8
MT,Lewis and Clark,63395,14
MT,Liberty,2339,1
MT,Lincoln,19687,5
MT,McCone,1734,1
MT,Madison,7691,3
MT,Meagher,1891,1
MT,Mineral,4223,2
MT,Missoula,109299,20
MT,Musselshell,4538,2
MT,Park,15636,6
MT,Petroleum,494,1
MT,Phillips,4253,1
MT,Pondera,6153,2
MT,Powder River,1743,1
MT,Powell,7027,2
MT,Prairie,1179,1
MT,Ravalli,40212,10
MT,Richland,9746,4
MT,Roosevelt,10425,3
MT,Rosebud,9233,4
MT,Sanders,11413,3
MT,Sheridan,3384,2
MT,Silver Bow,34200,8
MT,Stillwater,9117,3
MT,Sweet Grass,3651,1
MT,Teton,6073,3
MT,Toole,5324,3
MT,Treasure,718,1
MT,Valley,7369,3
MT,Wheatland,2168,1
MT,Wibaux,1017,1
MT,Yellowstone,147972,32
NE,Adams,31364,9
NE,Antelope,6685,3
NE,Arthur,460,1
NE,Banner,690,1
NE,Blaine,478,1
NE,Boone,5505,2
NE,Box Butte,11308,3
NE,Boyd,2099,1
NE,Brown,3145,1
NE,Buffalo,46102,11
NE,Burt,6858,3
NE,Butler,8395,3
NE,Cass,25241,6
NE,Cedar,8852,2
NE,Chase,3966,1
NE,Cherry,5713,2
NE,Cheyenne,9998,3
NE,Clay,6542,2
NE,Colfax,10515,3
NE,Cuming,9139,3
NE,Custer,10939,4
NE,Dakota,21006,4
NE,Dawes,9182,2
NE,Dawson,24326,7
NE,Deuel,1941,1
NE,Dixon,6000,2
NE,Dodge,36691,9
NE,Douglas,517110,156
NE,Dundy,2008,1
NE,Fillmore,5890,2
NE,Franklin,3225,2
NE,Frontier,2756,1
NE,Furnas,4959,1
NE,Gage,22311,7
NE,Garden,2057,1
NE,Garfield,2049,1
NE,Gosper,2044,1
NE,Grant,614,1
NE,Greeley,2538,1
NE,Hall,58607,14
NE,Hamilton,9124,3
NE,Harlan,3423,1
NE,Hayes,967,1
NE,Hitchcock,2908,1
NE,Holt,10435,4
NE,Hooker,736,1
NE,Howard,6274,2
NE,Jefferson,7547,3
NE,Johnson,5217,2
NE,Kearney,6489,2
NE,Keith,8368,3
NE,Keya Paha,824,1
NE,Kimball,3821,1
NE,Knox,8701,3
NE,Lancaster,285407,74
NE,Lincoln,36288,8
NE,Logan,763,1
NE,Loup,632,1
NE,McPherson,539,1
NE,Madison,34876,9
NE,Merrick,7845,3
NE,Morrill,5042,1
NE,Nance,3735,1
NE,Nemaha,7248,2
NE,Nuckolls,4500,2
NE,Otoe,15740,5
NE,Pawnee,2773,1
NE,Perkins,2970,1
NE,Phelps,9188,3
NE,Pierce,7266,2
NE,Platte,32237,7
NE,Polk,5406,2
NE,Red Willow,11055,3
NE,Richardson,8363,3
NE,Rock,1526,1
NE,Saline,14200,4
NE,Sarpy,158840,43
NE,Saunders,20780,5
NE,Scotts Bluff,36970,11
NE,Seward,16750,4
NE,Sheridan,5469,2
NE,Sherman,3152,1
NE,Sioux,1311,1
NE,Stanton,6129,2
NE,Thayer,5228,2
NE,Thomas,647,1
NE,Thurston,6940,2
NE,Valley,4260,2
NE,Washington,20234,5
NE,Wayne,9595,2
NE,Webster,3812,2
NE,Wheeler,818,1
NE,York,13665,4
NV,Churchill,24877,7
NV,Clark,1951269,487
NV,Douglas,46997,17
NV,Elko,48818,14
NV,Esmeralda,783,1
NV,Eureka,1987,1
NV,Humboldt,16528,4
NV,Lander,5775,1
NV,Lincoln,5345,2
NV,Lyon,51980,10
NV,Mineral,4772,2
NV,Nye,43946,10
NV,Pershing,6753,1
NV,Storey,4010,1
NV,Washoe,421407,112
NV,White Pine,10030,3
NV,Carson City,55274,14
NH,Belknap,60088,15
NH,Carroll,47818,11
NH,Cheshire,77117,16
NH,Coos,33055,11
NH,Grafton,89118,19
NH,Hillsborough,400721,86
NH,Merrimack,146445,36
NH,Rockingham,295223,66
NH,Strafford,123143,25
NH,Sullivan,43742,10
NJ,Atlantic,274549,69
NJ,Bergen,905116,179
NJ,Burlington,448734,114
NJ,Camden,513657,127
NJ,Cape May,97265,32
NJ,Cumberland,156898,35
NJ,Essex,783969,210
NJ,Gloucester,288288,63
NJ,Hudson,634266,166
NJ,Hunterdon,128349,26
NJ,Mercer,366513,77
NJ,Middlesex,809858,175
NJ,Monmouth,630380,144
NJ,Morris,492276,100
NJ,Ocean,576567,126
NJ,Passaic,501226,100
NJ,Salem,66083,24
NJ,Somerset,323444,68
NJ,Sussex,149265,41
NJ,Union,536499,108
NJ,Warren,108692,23
NM,Bernalillo,662564,153
NM,Catron,3725,1
NM,Chaves,65645,16
NM,Cibola,27213,7
NM,Colfax,13750,3
NM,Curry,48376,12
NM,De Baca,2022,1
NM,Dona Ana,209233,41
NM,Eddy,53829,12
NM,Grant,29514,8
NM,Guadalupe,4687,1
NM,Harding,695,1
NM,Hidalgo,4894,2
NM,Lea,64727,18
NM,Lincoln,20497,5
NM,Los Alamos,17950,4
NM,Luna,25095,6
NM,McKinley,71492,17
NM,Mora,4881,1
NM,Otero,63797,16
NM,Quay,9041,3
NM,Rio Arriba,40246,9
NM,Roosevelt,19846,5
NM,Sandoval,131561,28
NM,San Juan,130044,33
NM,San Miguel,29393,7
NM,Santa Fe,144170,50
NM,Sierra,11988,4
NM,Socorro,17866,6
NM,Taos,32937,6
NM,Torrance,16383,4
NM,Union,4549,1
NM,Valencia,76569,18
NY,Albany,304204,75
NY,Allegany,48946,13
NY,Bronx,1385108,339
NY,Broome,200600,55
NY,Cattaraugus,80317,21
NY,Cayuga,80026,20
NY,Chautauqua,134905,35
NY,Chemung,88830,22
NY,Chenango,50477,12
NY,Clinton,82128,19
NY,Columbia,63096,21
NY,Cortland,49336,12
NY,Delaware,47980,14
NY,Dutchess,297488,79
NY,Erie,919040,237
NY,Essex,39370,13
NY,Franklin,51599,14
NY,Fulton,55531,15
NY,Genesee,60079,15
NY,Greene,49221,15
NY,Hamilton,4836,4
NY,Herkimer,64519,19
NY,Jefferson,116229,26
NY,Kings,2504700,760
NY,Lewis,27087,7
NY,Livingston,65393,15
NY,Madison,73442,16
NY,Monroe,744344,192
NY,Montgomery,50219,16
NY,Nassau,1339532,280
NY,New York,1585873,288
NY,Niagara,216469,61
NY,Oneida,234878,74
NY,Onondaga,467026,140
NY,Ontario,107931,25
NY,Orange,372813,79
NY,Orleans,42883,11
NY,Oswego,122109,29
NY,Otsego,62259,17
NY,Putnam,99710,19
NY,Queens,2230722,669
NY,Rensselaer,159429,42
NY,Richmond,468730,109
NY,Rockland,311687,65
NY,St. Lawrence,111944,28
NY,Saratoga,219607,50
NY,Schenectady,154727,43
NY,Schoharie,32749,8
NY,Schuyler,18343,5
NY,Seneca,35251,10
NY,Steuben,98990,30
NY,Suffolk,1493350,322
NY,Sullivan,77547,24
NY,Tioga,51125,10
NY,Tompkins,101564,23
NY,Ulster,182493,47
NY,Warren,65707,19
NY,Washington,63216,17
NY,Wayne,93772,23
NY,Westchester,949113,223
NY,Wyoming,42155,11
NY,Yates,25348,5
NC,Alamance,151131,36
NC,Alexander,37198,7
NC,Alleghany,11155,3
NC,Anson,26948,6
NC,Ashe,27281,6
NC,Avery,17797,5
NC,Beaufort,47759,11
NC,Bertie,21282,4
NC,Bladen,35190,6
NC,Brunswick,107431,33
NC,Buncombe,238318,56
NC,Burke,90912,18
NC,Cabarrus,178011,37
NC,Caldwell,83029,17
NC,Camden,9980,2
NC,Carteret,66469,38
NC,Caswell,23719,6
NC,Catawba,154358,31
NC,Chatham,63505,13
NC,Cherokee,27444,7
NC,Chowan,14793,3
NC,Clay,10587,2
NC,Cleveland,98078,22
NC,Columbus,58098,13
NC,Craven,103505,21
NC,Cumberland,319431,68
NC,Currituck,23547,8
NC,Dare,33920,11
NC,Davidson,162878,34
NC,Davie,41240,7
NC,Duplin,58505,11
NC,Durham,267587,60
NC,Edgecombe,56552,14
NC,Forsyth,350670,93
NC,Franklin,60619,12
NC,Gaston,206086,65
NC,Gates,12197,3
NC,Graham,8861,3
NC,Granville,59916,13
NC,Greene,21362,4
NC,Guilford,488406,119
NC,Halifax,54691,12
NC,Harnett,114678,27
NC,Haywood,59036,16
NC,Henderson,106740,27
NC,Hertford,24669,5
NC,Hoke,46952,9
NC,Hyde,5810,2
NC,Iredell,159437,44
NC,Jackson,40271,9
NC,Johnston,168878,25
NC,Jones,10153,3
NC,Lee,57866,13
NC,Lenoir,59495,15
NC,Lincoln,78265,18
NC,McDowell,44996,10
NC,Macon,33922,9
NC,Madison,20764,6
NC,Martin,24505,6
NC,Mecklenburg,919628,233
NC,Mitchell,15579,4
NC,Montgomery,27798,6
NC,Moore,88247,18
NC,Nash,95840,18
NC,New Hanover,202667,45
NC,Northampton,22099,5
NC,Onslow,177772,32
NC,Orange,133801,28
NC,Pamlico,13144,4
NC,Pasquotank,40661,10
NC,Pender,52217,16
NC,Perquimans,13453,3
NC,Person,39464,7
NC,Pitt,168148,32
NC,Polk,20510,7
NC,Randolph,141752,28
NC,Richmond,46639,11
NC,Robeson,134168,31
NC,Rockingham,93643,21
NC,Rowan,138428,30
NC,Rutherford,67810,13
NC,Sampson,63431,11
NC,Scotland,36157,7
NC,Stanly,60585,13
NC,Stokes,47401,9
NC,Surry,73673,22
NC,Swain,13981,5
NC,Transylvania,33090,7
NC,Tyrrell,4407,1
NC,Union,201292,41
NC,Vance,45422,10
NC,Wake,900993,187
NC,Warren,20972,6
NC,Washington,13228,3
NC,Watauga,51079,13
NC,Wayne,122623,26
NC,Wilkes,69340,14
NC,Wilson,81234,19
NC,Yadkin,38406,7
NC,Yancey,17818,5
ND,Adams,2343,1
ND,Barnes,11066,4
ND,Benson,6660,4
ND,Billings,783,1
ND,Bottineau,6429,3
ND,Bowman,3151,2
ND,Burke,1968,1
ND,Burleigh,81308,19
ND,Cass,149778,33
ND,Cavalier,3993,2
ND,Dickey,5289,3
ND,Divide,2071,1
ND,Dunn,3536,1
ND,Eddy,2385,1
ND,Emmons,3550,1
ND,Foster,3343,1
ND,Golden Valley,1680,1
ND,Grand Forks,66861,18
ND,Grant,2394,1
ND,Griggs,2420,1
ND,Hettinger,2477,2
ND,Kidder,2435,1
ND,LaMoure,4139,2
ND,Logan,1990,1
ND,McHenry,5395,2
ND,McIntosh,2809,1
ND,McKenzie,6360,4
ND,McLean,8962,2
ND,Mercer,8424,3
ND,Morton,27471,5
ND,Mountrail,7673,3
ND,Nelson,3126,1
ND,Oliver,1846,1
ND,Pembina,7413,5
ND,Pierce,4357,2
ND,Ramsey,11451,3
ND,Ransom,5457,3
ND,Renville,2470,1
ND,Richland,16321,6
ND,Rolette,13937,4
ND,Sargent,3829,2
ND,Sheridan,1321,1
ND,Sioux,4153,2
ND,Slope,727,1
ND,Stark,24199,8
ND,Steele,1975,1
ND,Stutsman,21100,6
ND,Towner,2246,1
ND,Traill,8121,4
ND,Walsh,11119,6
ND,Ward,61675,13
ND,Wells,4207,2
ND,Williams,22398,7
OH,Adams,28550,6
OH,Allen,106331,33
OH,Ashland,53139,11
OH,Ashtabula,101497,25
OH,Athens,64757,15
OH,Auglaize,45949,11
OH,Belmont,70400,20
OH,Brown,44846,9
OH,Butler,368130,80
OH,Carroll,28836,7
OH,Champaign,40097,10
OH,Clark,138333,44
OH,Clermont,197363,40
OH,Clinton,42040,9
OH,Columbiana,107841,24
OH,Coshocton,36901,10
OH,Crawford,43784,13
OH,Cuyahoga,1280122,447
OH,Darke,52959,12
OH,Defiance,39037,9
OH,Delaware,174214,35
OH,Erie,77079,19
OH,Fairfield,146156,28
OH,Fayette,29030,7
OH,Franklin,1163414,284
OH,Fulton,42698,9
OH,Gallia,30934,7
OH,Geauga,93389,21
OH,Greene,161573,35
OH,Guernsey,40087,10
OH,Hamilton,802374,222
OH,Hancock,74782,13
OH,Hardin,32058,7
OH,Harrison,15864,5
OH,Henry,28215,7
OH,Highland,43589,9
OH,Hocking,29380,7
OH,Holmes,42366,8
OH,Huron,59626,13
OH,Jackson,33225,7
OH,Jefferson,69709,23
OH,Knox,60921,12
OH,Lake,230041,59
OH,Lawrence,62450,16
OH,Licking,166492,32
OH,Logan,45858,11
OH,Lorain,301356,73
OH,Lucas,441815,127
OH,Madison,43435,12
OH,Mahoning,238823,70
OH,Marion,66501,18
OH,Medina,172332,37
OH,Meigs,23770,6
OH,Mercer,40814,9
OH,Miami,102506,21
OH,Monroe,14642,4
OH,Montgomery,535153,153
OH,Morgan,15054,4
OH,Morrow,34827,6
OH,Muskingum,86074,19
OH,Noble,14645,3
OH,Ottawa,41428,13
OH,Paulding,19614,5
OH,Perry,36058,6
OH,Pickaway,55698,13
OH,Pike,28709,6
OH,Portage,161419,35
OH,Preble,42270,12
OH,Putnam,34499,7
OH,Richland,124475,30
OH,Ross,78064,17
OH,Sandusky,60944,15
OH,Scioto,79499,20
OH,Seneca,56745,14
OH,Shelby,49423,10
OH,Stark,375586,86
OH,Summit,541781,135
OH,Trumbull,210312,55
OH,Tuscarawas,92582,21
OH,Union,52300,10
OH,Van Wert,28744,9
OH,Vinton,13435,3
OH,Warren,212693,33
OH,Washington,61778,16
OH,Wayne,114520,32
OH,Williams,37642,9
OH,Wood,125488,28
OH,Wyandot,22615,6
OK,Adair,22683,5
OK,Alfalfa,5642,3
OK,Atoka,14182,4
OK,Beaver,5636,3
OK,Beckham,22119,4
OK,Blaine,11943,5
OK,Bryan,42416,11
OK,Caddo,29600,8
OK,Canadian,115541,29
OK,Carter,47557,11
OK,Cherokee,46987,9
OK,Choctaw,15205,5
OK,Cimarron,2475,2
OK,Cleveland,255755,62
OK,Coal,5925,2
OK,Comanche,124098,32
OK,Cotton,6193,2
OK,Craig,15029,5
OK,Creek,69967,21
OK,Custer,27469,5
OK,Delaware,41487,9
OK,Dewey,4810,3
OK,Ellis,4151,2
OK,Garfield,60580,12
OK,Garvin,27576,9
OK,Grady,52431,10
OK,Grant,4527,2
OK,Greer,6239,2
OK,Harmon,2922,1
OK,Harper,3685,2
OK,Haskell,12769,4
OK,Hughes,14003,5
OK,Jackson,26446,8
OK,Jefferson,6472,3
OK,Johnston,10957,3
OK,Kay,46562,11
OK,Kingfisher,15034,4
OK,Kiowa,9446,3
OK,Latimer,11154,3
OK,Le Flore,50384,12
OK,Lincoln,34273,7
OK,Logan,41848,8
OK,Love,9423,3
OK,McClain,34506,6
OK,McCurtain,33151,8
OK,McIntosh,20252,6
OK,Major,7527,3
OK,Marshall,15840,4
OK,Mayes,41259,9
OK,Murray,13488,3
OK,Muskogee,70990,16
OK,Noble,11561,4
OK,Nowata,10536,4
OK,Okfuskee,12191,4
OK,Oklahoma,718633,241
OK,Okmulgee,40069,10
OK,Osage,47472,11
OK,Ottawa,31848,9
OK,Pawnee,16577,5
OK,Payne,77350,17
OK,Pittsburg,45837,13
OK,Pontotoc,37492,10
OK,Pottawatomie,69442,16
OK,Pushmataha,11572,3
OK,Roger Mills,3647,1
OK,Rogers,86905,28
OK,Seminole,25482,9
OK,Sequoyah,42391,9
OK,Stephens,45048,11
OK,Texas,20640,5
OK,Tillman,7992,5
OK,Tulsa,603403,175
OK,Wagoner,73085,22
OK,Washington,50976,13
OK,Washita,11629,4
OK,Woods,8878,3
OK,Woodward,20081,5
OR,Baker,16134,6
OR,Benton,85579,18
OR,Clackamas,375992,80
OR,Clatsop,37039,12
OR,Columbia,49351,10
OR,Coos,63043,13
OR,Crook,20978,4
OR,Curry,22364,6
OR,Deschutes,157733,24
OR,Douglas,107667,22
OR,Gilliam,1871,1
OR,Grant,7445,2
OR,Harney,7422,2
OR,Hood River,22346,4
OR,Jackson,203206,41
OR,Jefferson,21720,6
OR,Josephine,82713,16
OR,Klamath,66380,20
OR,Lake,7895,2
OR,Lane,351715,86
OR,Lincoln,46034,18
OR,Linn,116672,21
OR,Malheur,31313,8
OR,Marion,315335,58
OR,Morrow,11173,2
OR,Multnomah,735334,171
OR,Polk,75403,12
OR,Sherman,1765,1
OR,Tillamook,25250,8
OR,Umatilla,75889,15
OR,Union,25748,8
OR,Wallowa,7008,3
OR,Wasco,25213,8
OR,Washington,529710,104
OR,Wheeler,1441,1
OR,Yamhill,99193,17
PA,Adams,101407,23
PA,Allegheny,1223348,402
PA,Armstrong,68941,19
PA,Beaver,170539,51
PA,Bedford,49762,11
PA,Berks,411442,90
PA,Blair,127089,34
PA,Bradford,62622,14
PA,Bucks,625249,143
PA,Butler,183862,44
PA,Cambria,143679,42
PA,Cameron,5085,2
PA,Carbon,65249,12
PA,Centre,153990,31
PA,Chester,498886,116
PA,Clarion,39988,10
PA,Clearfield,81642,20
PA,Clinton,39238,9
PA,Columbia,67295,15
PA,Crawford,88765,23
PA,Cumberland,235406,49
PA,Dauphin,268100,65
PA,Delaware,558979,144
PA,Elk,31946,9
PA,Erie,280566,72
PA,Fayette,136606,36
PA,Forest,7716,3
PA,Franklin,149618,27
PA,Fulton,14845,3
PA,Greene,38686,9
PA,Huntingdon,45913,12
PA,Indiana,88880,23
PA,Jefferson,45200,13
PA,Juniata,24636,5
PA,Lackawanna,214437,59
PA,Lancaster,519445,98
PA,Lawrence,91108,28
PA,Lebanon,133568,31
PA,Lehigh,349497,76
PA,Luzerne,320918,104
PA,Lycoming,116111,29
PA,McKean,43450,12
PA,Mercer,116638,30
PA,Mifflin,46682,12
PA,Monroe,169842,33
PA,Montgomery,799874,211
PA,Montour,18267,4
PA,Northampton,297735,68
PA,Northumberland,94528,24
PA,Perry,45969,10
PA,Philadelphia,1526006,384
PA,Pike,57369,18
PA,Potter,17457,5
PA,Schuylkill,148289,40
PA,Snyder,39702,8
PA,Somerset,77742,21
PA,Sullivan,6428,2
PA,Susquehanna,43356,11
PA,Tioga,41981,10
PA,Union,44947,10
PA,Venango,54984,16
PA,Warren,41815,13
PA,Washington,207820,59
PA,Wayne,52822,14
PA,Westmoreland,365169,100
PA,Wyoming,28276,7
PA,York,434972,90
RI,Bristol,49875,11
RI,Kent,166158,39
RI,Newport,82888,22
RI,Providence,626667,141
RI,Washington,126979,29
SC,Abbeville,25417,6
SC,Aiken,160099,33
SC,Allendale,10419,3
SC,Anderson,187126,39
SC,Bamberg,15987,4
SC,Barnwell,22621,6
SC,Beaufort,162233,41
SC,Berkeley,177843,45
SC,Calhoun,15175,3
SC,Charleston,350209,86
SC,Cherokee,55342,13
SC,Chester,33140,11
SC,Chesterfield,46734,10
SC,Clarendon,34971,12
SC,Colleton,38892,10
SC,Darlington,68681,16
SC,Dillon,32062,6
SC,Dorchester,136555,25
SC,Edgefield,26985,6
SC,Fairfield,23956,5
SC,Florence,136885,33
SC,Georgetown,60158,15
SC,Greenville,451225,111
SC,Greenwood,69661,14
SC,Hampton,21090,5
SC,Horry,269291,72
SC,Jasper,24777,5
SC,Kershaw,61697,15
SC,Lancaster,76652,14
SC,Laurens,66537,17
SC,Lee,19220,7
SC,Lexington,262391,74
SC,McCormick,10233,3
SC,Marion,33062,8
SC,Marlboro,28933,7
SC,Newberry,37508,8
